Date,Holiday Name,Holiday Type
1/1/2013,New Year's Day,National holiday
1/2/2013,New Year Holiday Week,National holiday
1/3/2013,New Year Holiday Week,National holiday
1/4/2013,New Year Holiday Week,National holiday
1/7/2013,Orthodox Christmas Day,"National holiday, Orthodox"
1/8/2013,New Year Holiday Week,National holiday
2/23/2013,Defender of the Fatherland Day,National holiday
3/8/2013,International Women's Day,National holiday
5/1/2013,Spring and Labor Day,National holiday
5/2/2013,Spring and Labor Day Holiday,National holiday
5/3/2013,Spring and Labor Day Holiday,National holiday
5/9/2013,Victory Day,National holiday
5/10/2013,Defender of the Fatherland Day holiday,National holiday
5/10/2013,Victory Day Holiday,National holiday
6/12/2013,Russia Day,National holiday
9/1/2013,Day of Knowledge,De facto holiday
11/4/2013,Unity Day,National holiday
12/30/2013,New Year Holiday Week,De facto holiday
12/31/2013,New Year Holiday Week,De facto holiday
1/1/2014,New Year's Day,National holiday
1/2/2014,New Year Holiday Week,National holiday
1/3/2014,New Year Holiday Week,National holiday
1/4/2014,Working day,Working day (moved weekend)
1/5/2014,Working day,Working day (moved weekend)
1/6/2014,New Year Holiday Week,National holiday
1/7/2014,Orthodox Christmas Day,"National holiday, Orthodox"
1/8/2014,New Year Holiday Week,National holiday
2/22/2014,Defender of the Fatherland Day holiday,National holiday
2/23/2014,Defender of the Fatherland Day,National holiday
3/8/2014,International Women's Day,National holiday
3/9/2014,International Womens' Day holiday,National holiday
3/10/2014,International Women's Day observed,National holiday
5/1/2014,Spring and Labor Day,National holiday
5/2/2014,Spring and Labor Day Holiday,National holiday
5/3/2014,Spring and Labor Day Holiday,National holiday
5/4/2014,Working day - moved weekend,National holiday
5/9/2014,Victory Day,National holiday
5/10/2014,Victory Day Holiday,National holiday
5/11/2014,Victory Day Holiday 2,National holiday
6/7/2014,Working day - moved weekend,Working day (moved weekend)
6/12/2014,Russia Day,National holiday
6/13/2014,Russia Day Weekend,National holiday
6/14/2014,Russia Day Weekend,National holiday
6/15/2014,Russia Day Weekend,National holiday
9/1/2014,Day of Knowledge,De facto holiday
11/1/2014,Public holiday,National holiday
11/2/2014,Public holiday,National holiday
11/3/2014,Public Holiday,National holiday
11/4/2014,Unity Day,National holiday
1/1/2015,New Year's Day,National holiday
1/2/2015,New Year Holiday Week,National holiday
1/3/2015,New Year Holiday Week,National holiday
1/4/2015,New Year Holiday Week,National holiday
1/5/2015,New Year Holiday Week,National holiday
1/6/2015,New Year Holiday Week,National holiday
1/7/2015,Orthodox Christmas Day,"National holiday, Orthodox"
1/8/2015,New Year Holiday Week,National holiday
1/9/2015,New Year Holiday Week,National holiday
2/23/2015,Defender of the Fatherland Day,National holiday
2/27/2015,Special Operations Forces Day,De facto holiday
3/8/2015,International Women's Day,National holiday
3/9/2015,International Women's Day observed,National holiday
5/1/2015,Spring and Labor Day,National holiday
5/4/2015,Public Holiday,National holiday
5/9/2015,Victory Day,National holiday
5/11/2015,Victory Day observed,National holiday
6/12/2015,Russia Day,National holiday
9/1/2015,Day of Knowledge,De facto holiday
11/4/2015,Unity Day,National holiday
